//TrieArray
n,insert,getAll,search,getKTopMatches,remove
50000,0.0287880000,0.0189870000,0.0072660000,1.1190370000,0.0288310000
100000,0.0563520000,0.0373540000,0.0142230000,2.3180530000,0.0579980000
150000,0.0847360000,0.0577750000,0.0215030000,3.7160750000,0.0885370000
200000,0.1107320000,0.0733910000,0.0289460000,4.6959190000,0.1193620000
250000,0.1409190000,0.0929430000,0.0368110000,5.9207950000,0.1527690000
300000,0.1773310000,0.1232110000,0.0441570000,7.4434190000,0.1819250000
//TrieMap
n,insert,getAll,search,getKTopMatches,remove
50000,0.1438430000,0.0160680000,0.0987600000,1.0561960000,0.1113000000
100000,0.2964890000,0.0318760000,0.2019940000,2.2022550000,0.2304150000
150000,0.4430390000,0.0507470000,0.3046890000,3.5027610000,0.3456860000
200000,0.5947160000,0.0643560000,0.4107610000,4.4157740000,0.4612180000
250000,0.7665520000,0.0794090000,0.5274210000,5.5945200000,0.5888110000
300000,0.9181350000,0.1023020000,0.6331650000,7.0496180000,0.7057880000

//largodecadenas array
n,insert,getAll,search,getKTopMatches,remove
5,0.0030470000,0.0023840000,0.0004010000,0.1166210000,0.0023970000
10,0.0060390000,0.0055500000,0.0016150000,0.2010610000,0.0054380000
15,0.0085500000,0.0082540000,0.0027150000,0.2679660000,0.0081890000
20,0.0112370000,0.0121340000,0.0039140000,0.3744650000,0.0106960000

//largodecadenas array map
n,insert,getAll,search,getKTopMatches,remove
5,0.0123860000,0.0017890000,0.0057360000,0.0972860000,0.0080830000
10,0.0235130000,0.0036980000,0.0100770000,0.1489970000,0.0171210000
15,0.0344770000,0.0060890000,0.0157820000,0.2028410000,0.0239910000
20,0.0460570000,0.0092090000,0.0175230000,0.2830250000,0.0307260000

//alfabeto array
n,insert,getAll,search,getKTopMatches,remove
5,0.0043820000,0.0037280000,0.0007800000,0.0269560000,0.0035050000
10,0.0047420000,0.0045460000,0.0012650000,0.0638910000,0.0045250000
15,0.0053370000,0.0053190000,0.0015850000,0.1036230000,0.0049710000
20,0.0053410000,0.0055650000,0.0017600000,0.1401020000,0.0051770000

//alfabeto map
n,insert,getAll,search,getKTopMatches,remove
5,0.0193810000,0.0025760000,0.0093480000,0.0227070000,0.0133470000
10,0.0216950000,0.0032700000,0.0096880000,0.0517740000,0.0153050000
15,0.0229480000,0.0035530000,0.0097750000,0.0803610000,0.0155890000
20,0.0228880000,0.0035660000,0.0097450000,0.1085700000,0.0154680000
